"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"38055","2013","2013","2013","US","National","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","50.2","","","49.9","50.5","433,081","","","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","0","","","",""
"73312","2013","2013","2013","AL","Alabama","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","45.4","","","43.5","47.2","5,915","32.840571122","-86.631860762","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","1","","","",""
"89260","2013","2013","2013","AK","Alaska","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","55.3","","","53.1","57.5","4,127","64.845079957001","-147.722059036","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","2","","","",""
"77677","2013","2013","2013","AZ","Arizona","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","51.9","","","49.1","54.8","3,777","34.86597028","-111.763811277","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","4","","","",""
"88253","2013","2013","2013","AR","Arkansas","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","41.2","","","39.2","43.3","4,663","34.748650124","-92.274490743","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","5","","","",""
"44657","2013","2013","2013","CA","California","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","56.3","","","55.0","57.7","10,078","37.638640123","-120.999999538","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","6","","","",""
"90920","2013","2013","2013","CO","Colorado","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","60.4","","","59.2","61.6","12,024","38.843840757","-106.133610921","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","8","","","",""
"83707","2013","2013","2013","CT","Connecticut","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","50.9","","","49.2","52.7","6,902","41.56266102","-72.649840952","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","9","","","",""
"79383","2013","2013","2013","DE","Delaware","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","49.7","","","47.7","51.7","4,751","39.008830667","-75.577741168","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","10","","","",""
"91945","2013","2013","2013","DC","District of Columbia","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","57.7","","","55.2","60.1","4,239","38.890371385","-77.031961127","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","11","","","",""
"90580","2013","2013","2013","FL","Florida","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","50.2","","","48.9","51.5","29,055","28.932040377","-81.928960539","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","12","","","",""
"94005","2013","2013","2013","GA","Georgia","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","50.8","","","49.2","52.4","7,119","32.839681093","-83.627580346","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","13","","","",""
"87185","2013","2013","2013","HI","Hawaii","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","60.2","","","58.5","61.9","7,266","21.304850435","-157.857749403","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","15","","","",""
"88698","2013","2013","2013","ID","Idaho","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","53.9","","","51.8","55.9","5,078","43.682630005","-114.363730042","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","16","","","",""
"76635","2013","2013","2013","IL","Illinois","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","52.4","","","50.4","54.4","5,234","40.485010283","-88.997710178","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","17","","","",""
"40995","2013","2013","2013","IN","Indiana","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","44.0","","","42.7","45.4","9,177","39.766910452","-86.149960194","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","18","","","",""
"51284","2013","2013","2013","IA","Iowa","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","46.9","","","45.4","48.5","7,473","42.469400913","-93.816490556","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","19","","","",""
"76855","2013","2013","2013","KS","Kansas","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","49.1","","","48.3","50.0","21,446","38.3477403","-98.200781227","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","20","","","",""
"75878","2013","2013","2013","KY","Kentucky","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","46.0","","","44.5","47.5","9,820","37.645970271","-84.774971048","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","21","","","",""
"96942","2013","2013","2013","LA","Louisiana","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","45.1","","","42.9","47.4","4,784","31.312660644","-92.445680071","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","22","","","",""
"81294","2013","2013","2013","ME","Maine","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","53.6","","","52.1","55.1","7,445","45.254228894001","-68.985031336","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","23","","","",""
